artist_name,name,album,popularity,track_number,duration_ms,explicit,id,track_uri,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature
NCT 127,2 Baddies,2 Baddies - The 4th Album,70,2,230293,False,1WKLxJpDqkQ9x1qEDNutoX,spotify:track:1WKLxJpDqkQ9x1qEDNutoX,0.529,0.596,0.921,2,-2.372,1,0.258,0.153,0.0,0.0922,171.96,4
NCT 127,Cherry Bomb,NCT #127 CHERRY BOMB– The 3rd Mini Album,66,1,236667,False,3o8QzWsiiqTUVgBZfHgF58,spotify:track:3o8QzWsiiqTUVgBZfHgF58,0.799,0.713,0.603,6,-4.896,0,0.287,0.000759,5.51e-06,0.0453,78.027,4
NCT 127,Designer,2 Baddies - The 4th Album,62,5,237080,False,4axTxw4EXSVSGm6f6vxTdZ,spotify:track:4axTxw4EXSVSGm6f6vxTdZ,0.517,0.706,0.906,1,-3.379,1,0.0932,0.0978,0.0,0.111,92.965,4
NCT 127,So Am I (feat. NCT 127),So Am I (feat. NCT 127),64,1,185034,False,6hIP8wBnZ74qA0xOXhXt3v,spotify:track:6hIP8wBnZ74qA0xOXhXt3v,0.55,0.678,0.678,6,-4.724,1,0.0438,0.0461,0.0,0.0751,130.05,4
NCT 127,Favorite (Vampire),Favorite - The 3rd Album Repackage,64,1,215586,False,2R8MZR1RCP4cIJITHDPRbY,spotify:track:2R8MZR1RCP4cIJITHDPRbY,0.178,0.561,0.758,5,-3.87,0,0.0478,0.000831,3.08e-06,0.15,149.944,4
NCT 127,Kick It,NCT #127 Neo Zone - The 2nd Album,63,2,233013,False,1ayaOin9hxCtyhg4UsBTpg,spotify:track:1ayaOin9hxCtyhg4UsBTpg,0.507,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.0,0.0808,167.031,4
NCT 127,Faster,2 Baddies - The 4th Album,63,1,170626,False,46hCrsB4mC1IWcYOMQqNWA,spotify:track:46hCrsB4mC1IWcYOMQqNWA,0.441,0.827,0.793,1,-4.176,1,0.118,0.0251,0.0,0.241,96.973,4
NCT 127,Regular - English Version,NCT #127 Regular-Irregular - The 1st Album,62,10,219106,False,4KqPuyZdcjXuRqXSARnt6r,spotify:track:4KqPuyZdcjXuRqXSARnt6r,0.831,0.741,0.747,9,-5.459,0,0.0956,0.263,5.15e-06,0.266,134.039,4
NCT 127,Time Lapse,2 Baddies - The 4th Album,62,3,215306,False,3FxGTxebY5j4Etl1KbIIZl,spotify:track:3FxGTxebY5j4Etl1KbIIZl,0.462,0.484,0.9,6,-3.567,0,0.209,0.0589,0.0,0.288,84.901,4
NCT 127,Sticker,Sticker - The 3rd Album,62,1,227773,False,1iGQpclvzonFNzy7Ko89V7,spotify:track:1iGQpclvzonFNzy7Ko89V7,0.719,0.527,0.769,2,-0.419,1,0.28,0.311,0.0,0.742,156.032,4
NCT,BOSS,NCT 2018 EMPATHY,66,2,210641,False,0ErzcmZ2gIwX7X0xSMQPix,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,0.332,0.787,0.543,10,-6.7,0,0.037,0.0233,0.0,0.0861,99.026,4
NCT,Baby Don’t Stop,NCT 2018 EMPATHY,64,3,183019,False,1EYSS9Lp7a9f20C3FaOVgI,spotify:track:1EYSS9Lp7a9f20C3FaOVgI,0.352,0.827,0.739,8,-6.391,1,0.0744,0.0214,4.13e-06,0.043,95.999,4
