artist_name,album_name,album_type,release_date,total_tracks,album_uri,name,duration_ms,explicit,track_number,popularity,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,track_uri
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,faster,170626,False,1,63,0.441,0.827,0.793,1,-4.176,1,0.118,0.0251,0.0,0.241,96.973,4,spotify:track:46hCrsB4mC1IWcYOMQqNWA
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,2 baddies,230293,False,2,70,0.529,0.596,0.921,2,-2.372,1,0.258,0.153,0.0,0.0922,171.96,4,spotify:track:1WKLxJpDqkQ9x1qEDNutoX
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,time lapse,215306,False,3,62,0.462,0.484,0.9,6,-3.567,0,0.209,0.0589,0.0,0.288,84.901,4,spotify:track:3FxGTxebY5j4Etl1KbIIZl
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,crash landing,204800,False,4,61,0.56,0.592,0.874,1,-2.059,1,0.0904,0.199,0.0,0.0769,140.06,4,spotify:track:66eZq38bO1ofzmpNa02XiL
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,designer,237080,False,5,62,0.517,0.706,0.906,1,-3.379,1,0.0932,0.0978,0.0,0.111,92.965,4,spotify:track:4axTxw4EXSVSGm6f6vxTdZ
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,gold dust,249613,False,6,61,0.521,0.74,0.537,0,-5.477,1,0.0401,0.704,0.0,0.35,140.008,4,spotify:track:0Hj4YtlD0Q5O0srdZxJUtl
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,black clouds,218400,False,7,59,0.267,0.676,0.708,2,-4.305,1,0.0436,0.265,0.0,0.099,84.982,4,spotify:track:1n3XdyPzDSbbVoRUb9QSW7
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,playback,192546,False,8,57,0.598,0.672,0.736,6,-4.714,0,0.123,0.409,0.0,0.195,160.013,4,spotify:track:2138nuFxkpawpBEkhyzZee
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,tasty,214746,False,9,58,0.533,0.784,0.937,11,-3.933,0,0.136,0.00694,0.000124,0.0706,107.946,4,spotify:track:3NVskN6estUcP26ZaMcMMu
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,vitamin,184386,False,10,58,0.747,0.75,0.7,7,-3.139,1,0.045,0.152,0.0,0.0359,90.149,4,spotify:track:71mbhY822FlcBmxMgeuUgA
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,lol (laugh-out-loud),219533,False,11,57,0.52,0.5,0.867,9,-3.101,1,0.0499,0.0945,0.0,0.0693,89.889,4,spotify:track:5P188CGPr5TKnhTrTGWme1
NCT 127,2 Baddies - The 4th Album,album,2022-09-16,12,spotify:album:6p80QT3z7kOHpYdnsItQTQ,"1, 2, 7 (time stops)",216866,False,12,57,0.284,0.668,0.762,7,-4.236,1,0.088,0.0967,0.0,0.118,93.934,4,spotify:track:3bPwNEZ0yLDT1j06XD4I9X
NCT 127,Favorite - The 3rd Album Repackage,album,2021-10-25,14,spotify:album:5LbnQtyHBfJUCigA08llHX,favorite (vampire),215586,False,1,64,0.178,0.561,0.758,5,-3.87,0,0.0478,0.000831,3.08e-06,0.15,149.944,4,spotify:track:2R8MZR1RCP4cIJITHDPRbY
NCT 127,Favorite - The 3rd Album Repackage,album,2021-10-25,14,spotify:album:5LbnQtyHBfJUCigA08llHX,love on the floor,218280,False,3,57,0.641,0.889,0.679,11,-4.106,0,0.11,0.0799,1.37e-05,0.031,116.998,4,spotify:track:2qDEhEy3vSZYFVgWbRChzw
NCT 127,Favorite - The 3rd Album Repackage,album,2021-10-25,14,spotify:album:5LbnQtyHBfJUCigA08llHX,pilot,209360,False,6,49,0.762,0.624,0.879,5,-2.676,0,0.0552,0.0579,0.0,0.223,160.024,4,spotify:track:5JelBxGOmT607wiyQG6fxK
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,sticker,227773,False,1,62,0.719,0.527,0.769,2,-0.419,1,0.28,0.311,0.0,0.742,156.032,4,spotify:track:1iGQpclvzonFNzy7Ko89V7
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,lemonade,190066,False,2,60,0.679,0.812,0.876,11,-1.456,0,0.0716,0.0145,0.000522,0.119,89.992,4,spotify:track:6txVOdSbg928oeGhlVUrdK
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,breakfast,212613,False,3,48,0.617,0.745,0.781,6,-3.59,1,0.0535,0.126,0.0,0.0508,121.941,4,spotify:track:5gVCEqLQrHkZPQzLw8pTXC
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,focus,204706,False,4,51,0.468,0.655,0.711,5,-3.34,1,0.161,0.284,0.0,0.116,82.391,4,spotify:track:3OXAycDk6KZnCfYA0LABUr
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,the rainy night,199026,False,5,50,0.337,0.476,0.633,5,-4.707,1,0.0423,0.359,0.0,0.139,149.738,3,spotify:track:0AY4qmK5YRpqSpGsnjskDK
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,far,216573,False,6,43,0.41,0.593,0.796,9,-3.847,1,0.179,0.0613,0.0,0.28,80.041,4,spotify:track:3HxtdKRmw0BNUs4VM7uYvE
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,bring the noize,222160,False,7,48,0.91,0.762,0.923,6,-3.11,1,0.185,0.196,0.0,0.488,160.065,4,spotify:track:0qrI2HZIHthFCBjnS7t2jp
